TRACK_ID	NAME	technique	CATEGORY	institute	source	experiment	developmental-stage	tissue	condition	summary	citation	project	accession	date	analyst	SCIPRJ	ACCESS	biosample	NGS_file	MLONG	FILENAME	TRACK_PATH	ASSEMBLY_1	ASSEMBLY_2	BED1_PATH	BED2_PATH	MAF
MOLNG-1180.33.neg.bw	WholeFemale_F_symbol_1.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.33.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.33.neg.bw					
MOLNG-1180.37.neg.bw	WholeFemale_F_symbol_2.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.37.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.37.neg.bw					
MOLNG-1180.46.neg.bw	WholeFemale_F_symbol_3.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.46.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.46.neg.bw					
MOLNG-1180.45.neg.bw	WholeFemale_F_symbol_4.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.45.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.45.neg.bw					
MOLNG-1180.38.pos.bw	MaleMesentery_MM1.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.38.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.38.pos.bw					
MOLNG-1180.31.pos.bw	MaleMesentery_MM2.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.31.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.31.pos.bw					
MOLNG-1180.32.pos.bw	MaleMesentery_MM3.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.32.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.32.pos.bw					
MOLNG-1180.38.neg.bw	MaleMesentery_MM1.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.38.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.38.neg.bw					
MOLNG-1180.31.neg.bw	MaleMesentery_MM2.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.31.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.31.neg.bw					
MOLNG-1180.32.neg.bw	MaleMesentery_MM3.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.32.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.32.neg.bw					
MOLNG-1180.39.pos.bw	FemaleMesentery_FM1.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.39.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.39.pos.bw					
MOLNG-1180.44.pos.bw	FemaleMesentery_FM2.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.44.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.44.pos.bw					
MOLNG-1180.41.pos.bw	FemaleMesentery_FM3.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.41.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.41.pos.bw					
MOLNG-1180.39.neg.bw	FemaleMesentery_FM1.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.39.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.39.neg.bw					
MOLNG-1180.44.neg.bw	FemaleMesentery_FM2.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.44.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.44.neg.bw					
MOLNG-1180.41.neg.bw	FemaleMesentery_FM3.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.41.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.41.neg.bw					
MOLNG-1180.34.pos.bw	UnkownSex_1A.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.34.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.34.pos.bw					
MOLNG-1180.36.pos.bw	UnkownSex_1B.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.36.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.36.pos.bw					
MOLNG-1180.42.pos.bw	UnkownSex_2C.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.42.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.42.pos.bw					
MOLNG-1180.43.pos.bw	UnkownSex_2D.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.43.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.43.pos.bw					
MOLNG-1180.34.neg.bw	UnkownSex_1A.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.34.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.34.neg.bw					
MOLNG-1180.36.neg.bw	UnkownSex_1B.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.36.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.36.neg.bw					
MOLNG-1180.42.neg.bw	UnkownSex_2C.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.42.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.42.neg.bw					
MOLNG-1180.43.neg.bw	UnkownSex_2D.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.43.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.43.neg.bw					
MOLNG-1180.29.bam	MOLNG-1180 sample 29	RNASeq	Aligned Reads														ADMIN				MOLNG-1180.29.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1180.29.bam					
MOLNG-1180.30.bam	MOLNG-1180 sample 30	RNASeq	Aligned Reads														ADMIN				MOLNG-1180.30.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1180.30.bam					
MOLNG-1180.31.bam	MOLNG-1180 sample 31	RNASeq	Aligned Reads														ADMIN				MOLNG-1180.31.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1180.31.bam					
MOLNG-1180.32.bam	MOLNG-1180 sample 32	RNASeq	Aligned Reads														ADMIN				MOLNG-1180.32.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1180.32.bam					
MOLNG-1180.33.bam	MOLNG-1180 sample 33	RNASeq	Aligned Reads														ADMIN				MOLNG-1180.33.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1180.33.bam					
MOLNG-1180.34.bam	MOLNG-1180 sample 34	RNASeq	Aligned Reads														ADMIN				MOLNG-1180.34.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1180.34.bam					
MOLNG-1180.35.bam	MOLNG-1180 sample 35	RNASeq	Aligned Reads														ADMIN				MOLNG-1180.35.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1180.35.bam					
MOLNG-1180.36.bam	MOLNG-1180 sample 36	RNASeq	Aligned Reads														ADMIN				MOLNG-1180.36.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1180.36.bam					
MOLNG-1180.37.bam	MOLNG-1180 sample 37	RNASeq	Aligned Reads														ADMIN				MOLNG-1180.37.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1180.37.bam					
MOLNG-1180.38.bam	MOLNG-1180 sample 38	RNASeq	Aligned Reads														ADMIN				MOLNG-1180.38.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1180.38.bam					
MOLNG-1180.39.bam	MOLNG-1180 sample 39	RNASeq	Aligned Reads														ADMIN				MOLNG-1180.39.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1180.39.bam					
MOLNG-1180.40.bam	MOLNG-1180 sample 40	RNASeq	Aligned Reads														ADMIN				MOLNG-1180.40.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1180.40.bam					
MOLNG-1180.41.bam	MOLNG-1180 sample 41	RNASeq	Aligned Reads														ADMIN				MOLNG-1180.41.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1180.41.bam					
MOLNG-1180.42.bam	MOLNG-1180 sample 42	RNASeq	Aligned Reads														ADMIN				MOLNG-1180.42.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1180.42.bam					
MOLNG-1180.43.bam	MOLNG-1180 sample 43	RNASeq	Aligned Reads														ADMIN				MOLNG-1180.43.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1180.43.bam					
MOLNG-1180.44.bam	MOLNG-1180 sample 44	RNASeq	Aligned Reads														ADMIN				MOLNG-1180.44.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1180.44.bam					
MOLNG-1180.45.bam	MOLNG-1180 sample 45	RNASeq	Aligned Reads														ADMIN				MOLNG-1180.45.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1180.45.bam					
MOLNG-1180.46.bam	MOLNG-1180 sample 46	RNASeq	Aligned Reads														ADMIN				MOLNG-1180.46.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1180.46.bam					
MOLNG-385.47.pos.bw	PLANULA-1.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-385.47.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-385.47.pos.bw					
MOLNG-385.48.pos.bw	PLANULA-2.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-385.48.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-385.48.pos.bw					
MOLNG-385.47.neg.bw	PLANULA-1.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-385.47.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-385.47.neg.bw					
MOLNG-385.48.neg.bw	PLANULA-2.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-385.48.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-385.48.neg.bw					
MOLNG-385.49.pos.bw	POST-GASTRULA-1.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-385.49.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-385.49.pos.bw					
MOLNG-385.50.pos.bw	POST-GASTRULA-2.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-385.50.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-385.50.pos.bw					
MOLNG-385.49.neg.bw	POST-GASTRULA-1.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-385.49.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-385.49.neg.bw					
MOLNG-385.50.neg.bw	POST-GASTRULA-2.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-385.50.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-385.50.neg.bw					
MOLNG-385.54.pos.bw	EGG-1.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-385.54.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-385.54.pos.bw					
MOLNG-385.51.pos.bw	EGG-2.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-385.51.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-385.51.pos.bw					
MOLNG-385.54.neg.bw	EGG-1.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-385.54.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-385.54.neg.bw					
MOLNG-385.51.neg.bw	EGG-2.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-385.51.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-385.51.neg.bw					
MOLNG-385.52.pos.bw	BLASTULA-1.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-385.52.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-385.52.pos.bw					
MOLNG-385.53.pos.bw	BLASTULA-2.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-385.53.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-385.53.pos.bw					
MOLNG-385.52.neg.bw	BLASTULA-1.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-385.52.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-385.52.neg.bw					
MOLNG-385.53.neg.bw	BLASTULA-2.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-385.53.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-385.53.neg.bw					
MOLNG-385.47.bam	MOLNG-385 sample 47	RNASeq	Aligned Reads																		MOLNG-385.47.bam						
MOLNG-385.48.bam	MOLNG-385 sample 48	RNASeq	Aligned Reads																		MOLNG-385.48.bam						
MOLNG-385.49.bam	MOLNG-385 sample 49	RNASeq	Aligned Reads																		MOLNG-385.49.bam						
MOLNG-385.50.bam	MOLNG-385 sample 50	RNASeq	Aligned Reads																		MOLNG-385.50.bam						
MOLNG-385.51.bam	MOLNG-385 sample 51	RNASeq	Aligned Reads																		MOLNG-385.51.bam						
MOLNG-385.52.bam	MOLNG-385 sample 52	RNASeq	Aligned Reads																		MOLNG-385.52.bam						
MOLNG-385.53.bam	MOLNG-385 sample 53	RNASeq	Aligned Reads																		MOLNG-385.53.bam						
MOLNG-385.54.bam	MOLNG-385 sample 54	RNASeq	Aligned Reads																		MOLNG-385.54.bam						
