TRACK_ID	NAME	technique	CATEGORY	institute	source	experiment	developmental-stage	tissue	condition	summary	citation	project	accession	date	analyst	SCIPRJ	ACCESS	biosample	NGS_file	MLONG	FILENAME	TRACK_PATH	ASSEMBLY_1	ASSEMBLY_2	BED1_PATH	BED2_PATH	MAF
MOLNG-1901.6.pos.bw	6h_a_amanitin.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1901.6.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1901.6.pos.bw					
MOLNG-1901.6.neg.bw	6h_a_amanitin.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1901.6.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1901.6.neg.bw					
MOLNG-1901.7.pos.bw	8h_wild_type.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1901.7.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1901.7.pos.bw					
MOLNG-1901.7.neg.bw	8h_wild_type.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1901.7.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1901.7.neg.bw					
MOLNG-1901.8.pos.bw	8h_a_manitin.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1901.8.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1901.8.pos.bw					
MOLNG-1901.8.neg.bw	8h_a_manitin.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1901.8.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1901.8.neg.bw					
MOLNG-1901.9.pos.bw	10h_wild_type.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1901.9.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1901.9.pos.bw					
MOLNG-1901.9.neg.bw	10h_wild_type.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1901.9.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1901.9.neg.bw					
MOLNG-1901.10.pos.bw	10h_a_amanitin.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1901.10.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1901.10.pos.bw					
MOLNG-1901.10.neg.bw	10h_a_amanitin.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1901.10.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1901.10.neg.bw					
MOLNG-1571.11.pos.bw	M-g-1.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.11.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.11.pos.bw					
MOLNG-1571.23.pos.bw	M-g-2.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.23.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.23.pos.bw					
MOLNG-1571.24.pos.bw	M-g-3.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.24.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.24.pos.bw					
MOLNG-1571.11.neg.bw	M-g-1.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.11.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.11.neg.bw					
MOLNG-1571.23.neg.bw	M-g-2.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.23.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.23.neg.bw					
MOLNG-1571.24.neg.bw	M-g-3.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.24.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.24.neg.bw					
MOLNG-1571.19.pos.bw	F-g-1.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.19.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.19.pos.bw					
