label	key	technique	category	institute	source	experiment	developmental-stage	tissue	condition	summary	citation	project	accession	date	analyst	filename	SCIPRJ	access_level	biosample	NGS_file	MLONG
tcs_v2_genes	TCSv2 genes	Sequence	Gene Models	Vienna	TCS_v2	Improved Gene models				Improved Gene Models by Bob Zimmerman and Juan Montenegro				11/30/2021	JMON	GCA_033964005.1/NV2/aligned/tcs_v2/20211130/tcs_v2.20211130.putative_function.gff		COLLABORATOR			
ucne_blat	UCNE BLAT	Sequence	Ultra conserved Noncoding Elemements	Vienna	blat	Identification of Ultra conserved Noncoding Elements								8/2/2021	SMR	GCA_033964005.1/NV2/aligned/ucne/nv_ucne.blat.gff					
NV2g_genes	NV2g_genes	Sequence	Gene Models	Vienna	TCS_v2	Versioned 20240221 Improved Gene Names				Versioned Improved Gene Models by Bob Zimmerman and Juan Montenegro				2/9/2024	JMON	NV2g.20240221.gff					
NV2t_transcripts	NV2t_transcripts	Sequence	Gene Models	Vienna	TCS_v2	Versioned 20240221 Improved Gene Names				Versioned Improved Gene Models by Bob Zimmerman and Juan Montenegro				2/9/2024	JMON	NV2g.20240221.gff					
																					
																					
# 2hrs amanitin																					
## browns: 2h wt +																					
MOLNG-1901.1.pos.bw	2h_wild_type.pos	RNASeq	Gene Expression	SIMR	Bazzini Lab arb		adult		2h_wild_type	Ribo-dep Stranded RNASeq, adult sexed samples, several tissues		[SCI-003455] Sequencing - Bazzini	MOLNG-1901	2016-12-14	SHC	GCA_033964005.1/bulk_align/MOLNG-1901.1.pos.bw	[SCI-003455] Sequencing - Bazzini			n_1_ATCACG.fastq.gz	
## oranges: 2h a_amanitin +																					
MOLNG-1901.2.pos.bw	2h_a_amanitin.pos	RNASeq	Gene Expression	SIMR	Bazzini Lab arb		adult		2h_a_amanitin	Ribo-dep Stranded RNASeq, adult sexed samples, several tissues		[SCI-003455] Sequencing - Bazzini	MOLNG-1901	2016-12-14	SHC	GCA_033964005.1/bulk_align/MOLNG-1901.2.pos.bw	[SCI-003455] Sequencing - Bazzini			n_1_CGATGT.fastq.gz	
## browns: 2h wt -																					
MOLNG-1901.1.neg.bw	2h_wild_type.neg	RNASeq	Gene Expression	SIMR	Bazzini Lab arb		adult		2h_wild_type	Ribo-dep Stranded RNASeq, adult sexed samples, several tissues		[SCI-003455] Sequencing - Bazzini	MOLNG-1901	2016-12-14	SHC	GCA_033964005.1/bulk_align/MOLNG-1901.1.neg.bw	[SCI-003455] Sequencing - Bazzini			n_1_ATCACG.fastq.gz	
## oranges: 2h a_amanitin -																					
